UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
240453,"R",4051,"R",6144,"R",66,"R",4002,"Z",0,"R",4002,"R",2932,"R",73,"R",116,"R",0,"R",116,"R",56,"R",48,"R",21
240462,"R",1531,"R",2082,"R",74,"R",1468,"Z",0,"R",1468,"R",1086,"R",74,"R",86,"Z",0,"R",86,"R",24,"R",28,"R",22
240471,"R",1325,"R",1876,"R",71,"R",1332,"Z",0,"R",1332,"R",998,"R",75,"R",13,"Z",0,"R",13,"R",8,"R",62,"R",23
240480,"R",1632,"R",2385,"R",68,"R",1608,"Z",0,"R",1608,"R",1260,"R",78,"R",24,"Z",0,"R",24,"R",14,"R",58,"R",22
240505,"R",662,"R",1583,"R",42,"R",657,"R",0,"R",657,"R",459,"R",70,"R",64,"R",0,"R",64,"R",28,"R",44,"R",15
240514,"R",291,"R",1028,"R",28,"R",244,"R",0,"R",244,"R",148,"R",61,"R",57,"R",0,"R",57,"R",11,"R",19,"R",15
240596,"R",199,"R",621,"R",32,"R",194,"R",1,"R",193,"R",122,"R",63,"R",27,"R",0,"R",27,"R",5,"R",19,"R",14
240620,"R",354,"R",1397,"R",25,"R",320,"R",0,"R",320,"R",175,"R",55,"R",97,"R",0,"R",97,"R",26,"R",27,"R",17
240657,"R",509,"R",693,"R",73,"R",452,"R",0,"R",452,"R",264,"R",58,"R",44,"R",0,"R",44,"R",9,"R",20,"R",15
240666,"R",530,"R",1690,"R",31,"R",394,"R",0,"R",394,"R",229,"R",58,"R",59,"R",0,"R",59,"R",17,"R",29,"R",21
240693,"R",268,"R",732,"R",37,"R",314,"R",45,"R",269,"R",212,"R",79,"R",377,"R",12,"R",365,"R",94,"R",26,"R",17
240709,"A",,"A",,"A",,"R",11,"R",0,"R",11,"R",2,"R",18,"R",6,"R",0,"R",6,"R",1,"R",17,"R",12
240718,"A",,"A",,"A",,"R",1274,"R",0,"R",1274,"R",1105,"R",87,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"R",19
240727,"R",1576,"R",2691,"R",59,"R",1681,"R",7,"R",1674,"R",1212,"R",72,"R",12,"Z",0,"R",12,"R",6,"R",50,"R",14
240736,"R",295,"R",587,"R",50,"R",218,"R",1,"R",217,"R",163,"R",75,"R",286,"R",0,"R",286,"R",138,"R",48,"R",19
240745,"R",113,"R",497,"R",23,"R",50,"R",0,"R",50,"R",26,"R",52,"R",58,"R",0,"R",58,"R",19,"R",33,"R",15
